lineId	chId	mId	chName	dialogue
L36272	u313	m19	JESSE	He's been full of vinegar lately.
L36271	u306	m19	BOB	Listen, Jesse, we've got a problem.  It's Cole.
L36270	u313	m19	JESSE	You are a fine figure of a man.
L36269	u306	m19	BOB	The things a fella has to do to get a little respect around here...
L36179	u306	m19	BOB	Yes. I am obviously not standing out in people's minds at the robberies.
L36178	u313	m19	JESSE	"This is about the ""Wanted!"" Posters, isn't it."
L36173	u306	m19	BOB	You heard me, Jesse. You know how crazy I get!
L36172	u313	m19	JESSE	Beg pardon?
L36171	u306	m19	BOB	One false move and I'll blow your heads off!
L36170	u313	m19	JESSE	Okay, folks, I think we know how this is going to go...
L36068	u313	m19	JESSE	Bank officials estimate the loss at fifty thousand dollars.
L36067	u306	m19	BOB	Hey!
L36066	u313	m19	JESSE	The outlaws calling themselves the James-Younger Gang shot their way out of town, wounding the Sherriff and three other townsfolk.
L36037	u313	m19	JESSE	We oughta take some of this, give it to our neighbors in Liberty. Lot of people hurting up there.
L36036	u306	m19	BOB	Well, no, Jesse, it was the bank's. That's why we had to go to all that trouble of stealing it.  You explain it to him.
L36035	u313	m19	JESSE	All right, settle down. All this money ain't ours.
L35973	u313	m19	JESSE	Exactly.
L35972	u306	m19	BOB	But if we take their money and supplies...
L35924	u306	m19	BOB	Not yet. But I'm hoping.
L35923	u313	m19	JESSE	You have no shame.
L35832	u306	m19	BOB	Two.
L35831	u313	m19	JESSE	How many of them did he kill?
L35659	u306	m19	BOB	Best damn plan I heard all war.
L35658	u313	m19	JESSE	Home. We go home. We ride like hell to get there, and we kill anything or anyone that comes between us and our homes. And when we get there we stay there and God help any fool who tries to get me to leave my farm again.
L36486	u313	m19	JESSE	No, really. You're wife said she needed some help, seeing as you were so fat you couldn't find your --
L36485	u307	m19	BURLY DETECTIVE	You shut up now, boy.
L36484	u313	m19	JESSE	I think I saw you leavin' by the front door just as I was coming in the back.
L36483	u307	m19	BURLY DETECTIVE	How?
L36482	u313	m19	JESSE	I think I recognize you.
L36481	u307	m19	BURLY DETECTIVE	What you sayin' boy?
L36480	u313	m19	JESSE	You, ya barrel of pork lard. Here piggy piggy!
L36479	u307	m19	BURLY DETECTIVE	What?
L36523	u308	m19	COLE	We didn't. Zerelda did. Turns out your wife makes a hell of an outlaw.
L36522	u313	m19	JESSE	Where'd you get all these riders?
L36518	u313	m19	JESSE	Pff. All we been through, the thought never crossed my mind.
L36517	u308	m19	COLE	You know, you gettin' caught, right after leaving us, some people thought --
L36516	u313	m19	JESSE	Missed you too, cousin.
L36515	u308	m19	COLE	Missed you, cousin.
L36353	u313	m19	JESSE	Who's next? You? Me? Bob?
L36352	u308	m19	COLE	WHAT?! We follow you for a year, and now that our blood's been spilled, you're gonna quit?!
L36351	u313	m19	JESSE	I'm out.
L36350	u308	m19	COLE	We'll make them pay for this.
L36335	u313	m19	JESSE	Pass me some whisky.
L36334	u308	m19	COLE	Bob, rip up some bandages.
L36331	u308	m19	COLE	Clell, Tom, go get Doc Mimms in Liberty!
L36330	u313	m19	JESSE	Okay, you're gonna rest here.
L36320	u313	m19	JESSE	A trap.
L36319	u308	m19	COLE	Dammit!
L36314	u308	m19	COLE	You'll be smiling once you've got all that money to spend, cousin.  Cole Younger's going to make everybody rich!
L36313	u313	m19	JESSE	Fine. We hit this bank.
L36312	u308	m19	COLE	Then let me run the show, General Lee.
L36311	u313	m19	JESSE	Still smells fishy.
L36307	u313	m19	JESSE	And I'm the better outlaw.
L36306	u308	m19	COLE	I'm the better soldier, Jesse.
L36300	u308	m19	COLE	That's it.
L36299	u313	m19	JESSE	And almost got hanged in peacetime.
L36298	u308	m19	COLE	I got us through the War all right.
L36297	u313	m19	JESSE	A bad idea.
L36296	u308	m19	COLE	Now the one time one of us comes up with an idea --
L36295	u313	m19	JESSE	Beautiful.
L36284	u313	m19	JESSE	You're forgetting who's in charge --
L36283	u308	m19	COLE	I've robbed just as many banks as you have! I know this town, and I know this bank, and I say it's an easy job.
L36282	u313	m19	JESSE	What are you saying?
L36281	u308	m19	COLE	If you'd read about it first, you'd have no problems.
L36280	u313	m19	JESSE	Smells funny, it being mentioned in the paper.
L36278	u313	m19	JESSE	What will be?
L36277	u308	m19	COLE	It'll be the biggest score yet.
L36181	u313	m19	JESSE	Hold on, hold on, we all know Bob is an important part of the gang.
L36180	u308	m19	COLE	This is your fault for hogging all the publicity.
L36127	u308	m19	COLE	"Why aren't we the ""Younger-James Gang""? I mean, there's three Younger brothers and only two James brothers here."
L36126	u313	m19	JESSE	Yep.
L36125	u308	m19	COLE	"All the posters and newspapers are calling this bunch the ""James-Younger Gang."""
L36124	u313	m19	JESSE	Sure, cousin.
L36123	u308	m19	COLE	Jesse, we got to have a word.
L36063	u308	m19	COLE	Twenty?!
L36062	u313	m19	JESSE	The Fidelity Bank and Trust was robbed on Tuesday by a gang of twenty heavily armed men.
L36057	u313	m19	JESSE	It's better. It's a construction depot. They'll have the strongbox and some ammo and explosives for us to take. That way we can take on a bigger job.
L36056	u308	m19	COLE	It's not a bank.
L36041	u308	m19	COLE	Just because he reads all those books and knows all those big words doesn't make him smart.
L36040	u313	m19	JESSE	See, Frank's being smart about this.
L36030	u308	m19	COLE	I got three.
L36029	u313	m19	JESSE	I got seven thousand.
L36001	u308	m19	COLE	Don't let it happen again.
L36000	u313	m19	JESSE	Sorry.
L35999	u308	m19	COLE	The James-Younger Gang.
L35979	u308	m19	COLE	Let's ride.
L35978	u313	m19	JESSE	Perfect, Cole.
L35977	u308	m19	COLE	I'll pick the first job! I mean... I know a girl down at the bank. See if she can't get a list of towns where the railroad keeps its money.
L35971	u313	m19	JESSE	Just like in the war. Harass their supply lines. We kill the railroad's men, they won't care.
L35970	u308	m19	COLE	So what do we do, General Lee?
L35969	u313	m19	JESSE	This isn't a feud, this is war. They've got more men than we do. We kill detectives, they can replace 'em in a day.
L35776	u313	m19	JESSE	Yeah.
L35775	u308	m19	COLE	Because we were good at it?  Hell, we were great at it. Jesse, don't tell anyone I said this, because everybody knows I'm the toughest man in this town, but you are one terrifying sonofabitch with those guns.
L35774	u313	m19	JESSE	But it was a whole lot of killing. Why should we miss that?
L35773	u308	m19	COLE	It was exciting.
L35772	u313	m19	JESSE	The war? What, are you crazy?  There are things I miss about it.
L35771	u308	m19	COLE	After all you did on our farm?  You miss it, don't you Jesse?
L35770	u313	m19	JESSE	Thanks for the help.
L35763	u313	m19	JESSE	All right, calm down. I'll agree Sadie was a woman --
L35762	u308	m19	COLE	She was European!
L35761	u313	m19	JESSE	She had a moustache.
L35754	u308	m19	COLE	She got two of them.
L35753	u313	m19	JESSE	You ever notice Zerelda's eyes?
L35688	u313	m19	JESSE	In case we have to kill these sonofabitches, I don't want them to see us coming.
L35687	u308	m19	COLE	What is wrong with you?
L35686	u313	m19	JESSE	Not now.
L35678	u313	m19	JESSE	Pick your fights, cousin. You taught me that.
L35677	u308	m19	COLE	You're not scared, are you?
L35676	u313	m19	JESSE	Hands off your hip, Cole.
L35665	u308	m19	COLE	Planting corn. Harvesting corn. Year after year.
L35664	u313	m19	JESSE	Home, boys. Back to our farms.
L35653	u313	m19	JESSE	There's Yankees back there. Lot's of 'em.
L35652	u308	m19	COLE	Where you boys going?
L35646	u308	m19	COLE	Suit yourself. We'll have some horses waiting for you at the road.  Let's ride, Rangers!
L35645	u313	m19	JESSE	I could use the walk.
L35644	u308	m19	COLE	Ride with me, cousin?
L35615	u313	m19	JESSE	What's going on?
L35614	u308	m19	COLE	'Bout time you got here, buddy.
L35672	u309	m19	COMANCHE TOM	I'm thinking...
L35671	u308	m19	COLE	Well?
L35670	u309	m19	COMANCHE TOM	Hmm. Go back to the reservation and get drunk in a dirt shack, or work for you...
L35669	u308	m19	COLE	Tom, why don't you stop at our spread before you head on out to the reservation? Figure we might have some work for you, if you want.
L35641	u309	m19	COMANCHE TOM	You ride like a Comanche.
L35640	u308	m19	COLE	Wait'll we get back to Missouri, start telling those gals about how little Jesse James charged the whole Union Army by himself!
L35596	u309	m19	COMANCHE TOM	You pay me to find you Bluecoats. There they are.
L35595	u308	m19	COLE	Some Indian tracker you turned out to be, Tom.
L36323	u312	m19	FRANK	They're just insurance in case we run.
L36322	u308	m19	COLE	They gonna rush us?
L36321	u312	m19	FRANK	Another dozen out back.
L36287	u312	m19	FRANK	Cole, he didn't mean that.
L36286	u308	m19	COLE	Oh, you're in charge? We ain't partners any more, Jesse? You tell Cole Younger where and when to ride?
L36285	u312	m19	FRANK	Jesse.
L36053	u308	m19	COLE	-- Exactly. Because this is a war.
L36052	u312	m19	FRANK	Strategically.
L36051	u308	m19	COLE	Hey! We decide something, that's it! We're in this for the long haul, and this idea of me and Jesse's will help give us more places to hide out without worrying about some farmer with a shotgun sneakin' up on us in our sleep. We've got to think --
L35947	u312	m19	FRANK	Get buckets!
L35946	u308	m19	COLE	BASTARDS! Come back here and face me!
L35768	u308	m19	COLE	Ah.
L35767	u312	m19	FRANK	Shakespeare.  He's European.
L35766	u308	m19	COLE	I have no idea what you just said, but it sounded real nice.
L35760	u308	m19	COLE	Sadie was not a man!
L35759	u312	m19	FRANK	Oh, Lord, the dance hall girl at Bunty's...
L35757	u312	m19	FRANK	The brown one.
L35756	u308	m19	COLE	Which one, right or left?
L35755	u312	m19	FRANK	I think one of 'em's glass.
L35675	u312	m19	FRANK	Must be a garrison in town. We're in occupied territory, boys.
L35674	u308	m19	COLE	What the --
L35609	u312	m19	FRANK	Soon as I hit one, the other'll know and beat us up.
L35608	u308	m19	COLE	Both would be nice.
L35607	u312	m19	FRANK	Cannon or Gatling?
L36393	u325	m19	TELLER	All right, all right.  Jesse James never yelled at folk...
L36392	u308	m19	COLE	OPEN THE DAMN SAFE!
L36389	u308	m19	COLE	This here is the Younger Gang!
L36388	u325	m19	TELLER	Where is Jesse James?
L36387	u308	m19	COLE	What?
L36386	u325	m19	TELLER	Of course!  Uh, sir?
L36385	u308	m19	COLE	The safe. Now.
L36147	u309	m19	COMANCHE TOM	Me get heap firewater --
L36146	u318	m19	MARSHALL	Go ahead to the saloon. But don't get too drunk!
L36144	u309	m19	COMANCHE TOM	Ho-yah!
L36143	u318	m19	MARSHALL	East? East above the river heading for the Eagle Pass?
L36142	u309	m19	COMANCHE TOM	Ho-yah. Him say tell Big Lawman in Carville that badman Jesse James riding toward Rising Sun, above Great River, near Eagle Rock.
L36141	u318	m19	MARSHALL	Of St. Louis?
L36140	u318	m19	MARSHALL	The District Marshall
L36139	u309	m19	COMANCHE TOM	Great Chief of St. Louis send me.
L36138	u318	m19	MARSHALL	Yeah, Injun. What do you want?
L36137	u309	m19	COMANCHE TOM	You 'um big lawman?
L36015	u309	m19	COMANCHE TOM	I'd appreciate that.
L36014	u319	m19	OLD MAN	Fine. I'll just wait here.
L36013	u309	m19	COMANCHE TOM	It's a secret.
L36012	u319	m19	OLD MAN	Oh. Why didn't you just say so?
L36011	u309	m19	COMANCHE TOM	On account of we're robbing it.
L36010	u319	m19	OLD MAN	Then why can't I go in there?
L36009	u309	m19	COMANCHE TOM	You're right, sir.
L36008	u319	m19	OLD MAN	I know it ain't no durned bank holiday!
L36028	u324	m19	SHERRIFF	Shit.
L36027	u310	m19	DEPUTY	I had you covered.  From back there.
L36026	u324	m19	SHERRIFF	Where the hell were you?
L36020	u324	m19	SHERRIFF	When have you ever known Old Man Tucker not to be yelling at everybody?
L36019	u310	m19	DEPUTY	So?
L36018	u324	m19	SHERRIFF	Old Man Tucker is just standing quiet outside the bank.
L36017	u310	m19	DEPUTY	What is it?
L36016	u324	m19	SHERRIFF	What the --
L35915	u311	m19	DOC MIMMS	It's fine by me, Jesse.
L35914	u313	m19	JESSE	Yesss, but I was thinking, I could come by, and then take Zee out. Some place near. With other folk. Near. Here.  But out.
L35913	u311	m19	DOC MIMMS	You know you're welcome any time!
L35910	u311	m19	DOC MIMMS	Go on. You're pretty much all healed up.
L35909	u313	m19	JESSE	What do you say, sir?
L35841	u313	m19	JESSE	Go home, Doc.  They ain't gonna hang no more Liberty boys.
L35840	u311	m19	DOC MIMMS	Boys...
L35710	u313	m19	JESSE	Died a hero.
L35709	u311	m19	DOC MIMMS	Web died fighting?
L35706	u313	m19	JESSE	Pff. He jumped his horse clear over our heads, killed a dozen Union soldiers before they knew what hit them.
L35705	u311	m19	DOC MIMMS	My little Web did that?
L35704	u313	m19	JESSE	-- rode right into them, screaming like a banshee.
L36104	u311	m19	DOC MIMMS	I'm upset too, Zee, but Jesse and Cole know what they're doing. I'm sure they won't press their luck.
L36103	u326	m19	ZEE	He thinks this is some kind of game!
L35877	u326	m19	ZEE	I think he's already feeling better.
L35876	u311	m19	DOC MIMMS	Well, I hope the boy pulls through. We should know in the morning.
L35875	u326	m19	ZEE	I fooled them into thinking I was alone.
L35874	u311	m19	DOC MIMMS	They're gone. What are you --
L35863	u311	m19	DOC MIMMS	The bullet came out clean, but he lost a whole lot of blood. Praying wouldn't hurt.
L35862	u326	m19	ZEE	He's going to be fine, right Daddy?
L35717	u311	m19	DOC MIMMS	Zerelda, it's no coincidence. The railroad men come through, offering to buy up land. Nobody sells. Then they start hanging men who own farms for treason?
L35716	u326	m19	ZEE	Daddy, don't start with this again.
L36529	u312	m19	FRANK	Hell, they hardly even noticed us.
L36528	u313	m19	JESSE	See you soon. Oh, and I appreciate the distraction back there.
L36527	u312	m19	FRANK	I'll meet you down there in a few weeks.
L36349	u312	m19	FRANK	I'm sure it seemed like a good idea at the time.
L36348	u313	m19	JESSE	A war against the railroad. What the hell were we thinking?
L36347	u312	m19	FRANK	Yeah.
L36346	u313	m19	JESSE	You're a piss-poor liar for the smartest man I know.
L36345	u312	m19	FRANK	Railroad burned him out too. You couldn't have stopped him.
L36344	u313	m19	JESSE	He was a boy riding with the most famous outlaws in the West. How was he supposed to say no to that?
L36343	u312	m19	FRANK	Jim was old enough...
L36342	u313	m19	JESSE	Shoulda learned with Web. Made it look fun, made it look like an adventure. Got Web killed. Now Jim.
L36326	u312	m19	FRANK	Got any ideas, little brother?
L36325	u313	m19	JESSE	They're all pinned down. Can't even get to the door.
L36289	u312	m19	FRANK	No, I --
L36288	u313	m19	JESSE	You taking sides against me, now, Frank?
L36212	u312	m19	FRANK	Just do me a favor. Think about what this is costing everybody. Not just the railroad.
L36211	u313	m19	JESSE	Oh yeah.
L36210	u312	m19	FRANK	We're drunk.
L36206	u312	m19	FRANK	A better life than the one you could have had with Zee?
L36205	u313	m19	JESSE	What do you want me to say, Frank? I was killing men when I was fifteen. I like getting shot at. I like riding out of town with a posse at my back. This is a helluva better life than farming.
L36204	u312	m19	FRANK	Maybe it started out that way. But now...
L36203	u313	m19	JESSE	We're doing this for Ma.
L36202	u312	m19	FRANK	I can't quit and leave you alone. I can't quit until you quit. Ma would've wanted it that way.
L36201	u313	m19	JESSE	That's a lie. You could've bought a dozen farms with the money we've stolen.
L36200	u312	m19	FRANK	If I could go back to farming --
L36199	u313	m19	JESSE	You've killed your fair share of men.
L36198	u312	m19	FRANK	It got to you, didn't it. All the killing in the war. You need it now.
L36197	u313	m19	JESSE	And we're good at it.
L36196	u312	m19	FRANK	Jesse, we're outlaws.
L36195	u313	m19	JESSE	This has been a good year.
L36188	u313	m19	JESSE	Bob here'll kill a man for sneezing, and he's the best shot in the gang.
L36187	u312	m19	FRANK	Pardon the delay, folks, but we had to get Mad Bob Younger under control!
L36184	u312	m19	FRANK	The posters?
L36183	u313	m19	JESSE	Bob's upset.
L36182	u312	m19	FRANK	Gents, we are in the middle of something here.
L36112	u312	m19	FRANK	It's the scientific method. It's all the rage.
L36111	u313	m19	JESSE	I don't think it's counterfeit. Do you mind if I take a look at all your real bills to compare?
L36059	u313	m19	JESSE	And I do so want to shoot some Pinkerton detectives.
L36058	u312	m19	FRANK	And it's guarded by Pinkerton detectives.
L36047	u312	m19	FRANK	And that's why you both lead the gang. Two of you went into that bank together, right?
L36046	u313	m19	JESSE	And I planned getting you off the hangman's deck --
L36023	u312	m19	FRANK	We're gonna have to talk...
L36022	u313	m19	JESSE	Fine. How'd it go out here?
L36021	u312	m19	FRANK	How'd it go in there?
L35963	u313	m19	JESSE	Make a thousand of 'em. Still won't be enough by the time I'm through.
L35962	u312	m19	FRANK	Didn't think you would.  I'm going to go make the coffin.
L35961	u313	m19	JESSE	Don't care.
L35960	u312	m19	FRANK	... We could move on. Rebuild. Make a decent life someplace else.
L35949	u313	m19	JESSE	Ma.
L35948	u312	m19	FRANK	Pinkertons. It's the railroad.
L35912	u313	m19	JESSE	Shut up.  Uh, Doc, I was wondering if, uh, this evening, I could come by?
L35911	u312	m19	FRANK	You're looking a bit more spry now that somebody --
L35908	u312	m19	FRANK	Would you get in the carriage? Until Ma has you home so she can fuss over you herself, she's gonna make me miserable.
L35907	u313	m19	JESSE	What do you think?
L35906	u312	m19	FRANK	You ready to stop loafing around with this young lady and get back to farming?
L35811	u313	m19	JESSE	Damn. All that reading paid off.
L35810	u312	m19	FRANK	I went up to the courthouse and looked at the right of way documents for the rail bed. The railroad doesn't even need our land, they're just taking the land on both sides for as far as they can.
L35784	u313	m19	JESSE	Heard of him.
L35783	u312	m19	FRANK	You know him?
L35765	u312	m19	FRANK	"Your Zee? Hmm.  ""From women's eyes this doctrine I derive: they sparkle still the right Promethean fire; They are the books, the arts, the academes, that show, contain, and nourish all the world."""
L35764	u313	m19	JESSE	-- if you stop saying things about my Zee.
L35752	u313	m19	JESSE	What worries me is that Jesus is talking back.
L35751	u312	m19	FRANK	She's still talking to Jesus.
L35735	u312	m19	FRANK	"Next time try ""fat and haggard."""
L35734	u313	m19	JESSE	I swear I'll shoot you in your sleep.
L35733	u312	m19	FRANK	You are a charmer.
L35732	u313	m19	JESSE	You can shut up now.
L35731	u312	m19	FRANK	Big and older?
L35725	u312	m19	FRANK	Maybe, maybe...
L35724	u313	m19	JESSE	That just might work.
L35722	u313	m19	JESSE	What kind of story are they going to believe?
L35721	u312	m19	FRANK	Think about this. If we just come up with a story and stick to it, we should be all right.
L35720	u313	m19	JESSE	All we thought about was coming home. I swore I'd kill anybody who tried to get me off my farm again. If I have to go to war with the railroad to stay, fine by me.
L35708	u313	m19	JESSE	Saved all our lives, Doc. None of the Liberty boys would have come home if not for Web Mimms, Doc. God's honest truth.
L35707	u312	m19	FRANK	Whyyyy... he took down the Gatling gun and the cannon all by himself.
L35702	u313	m19	JESSE	Zee, we got to talk to you and your father.
L35701	u312	m19	FRANK	You're doing just fine.
L35700	u313	m19	JESSE	Frank, don't you have something to say?
L35684	u312	m19	FRANK	We better go to Doc's, see what's going on here.
L35683	u313	m19	JESSE	Looks like Web Mimms wasn't the only casualty this town's got.
L35661	u313	m19	JESSE	All this time in the saddle... We get to the farm, I'm going to shoot this damn horse just on principle.
L35660	u312	m19	FRANK	Hello, Liberty Missoura!
L35651	u312	m19	FRANK	I'm sure it seemed like a good idea at the time.
L35650	u313	m19	JESSE	Hell of a war.
L35649	u312	m19	FRANK	I reckoned.
L35648	u313	m19	JESSE	Web's dead.
L35639	u312	m19	FRANK	No, Jesse, your problem is you're always doing stuff before I'm finished figuring it out.
L35638	u313	m19	JESSE	See, that's your problem, Frank. By the time you finish figuring out stuff, I'm already finished doing it.
L35637	u312	m19	FRANK	I figure.
L35636	u313	m19	JESSE	That would have made an impression.
L35635	u312	m19	FRANK	You could have worn one of those big, floppy woman's Easter Sunday hats.
L35634	u313	m19	JESSE	Such as?
L35633	u312	m19	FRANK	Mm-hmm.
L35632	u313	m19	JESSE	So you're saying I could have done more to attract their attention.
L35631	u312	m19	FRANK	Pff. They hardly even noticed you.
L35630	u313	m19	JESSE	Distracting enough for you?
L35617	u313	m19	JESSE	So we got a plan?
L35616	u312	m19	FRANK	Every time I put my head up to hit that Gatling, they try to shoot it off.
L36550	u312	m19	FRANK	Everything but the boring parts.
L36549	u315	m19	JIMMY	How much of that story is true?
L36548	u312	m19	FRANK	Yeah Jimmy?
L36547	u315	m19	JIMMY	Uncle Frank?
L36545	u312	m19	FRANK	I think... he was just a real interestin' fella to have around.
L36544	u315	m19	JIMMY	So what was he?
L36543	u312	m19	FRANK	Can't argue that.
L36542	u315	m19	JIMMY	But he killed a lot of men, too.
L36541	u312	m19	FRANK	Saved a lot of folk from the railroad.
L36540	u315	m19	JIMMY	They're making him a hero now.
L36539	u312	m19	FRANK	That he was.
L36538	u315	m19	JIMMY	Sounds like he was a hell of a man.
L36537	u312	m19	FRANK	Allow a man his version of the past. When you get to be my age, you've got enough painful memories, you're allowed to soften a few of the edges up.
L36536	u312	m19	FRANK	I know. But that's how it should have ended. Your Dad and Mom, riding off into a new life, growing old together, happy.
L36535	u315	m19	JIMMY	...every time you tell that story, you stop there. That's not how it ended. I was five when my dad got shot.
L36534	u312	m19	FRANK	Yeah, Jimmy?
L36533	u315	m19	JIMMY	Y'know, Uncle Frank...
L35958	u317	m19	MA	Shush.
L35957	u313	m19	JESSE	Doc Mimms will --
L35956	u317	m19	MA	Take care of each other, boys. You say your prayers.
L35955	u313	m19	JESSE	We know, Ma. Now we got to get you to Doc Mimms.
L35954	u317	m19	MA	Riders --
L35952	u317	m19	MA	Boys?
L35951	u313	m19	JESSE	Ma! Please!
L35804	u313	m19	JESSE	Somebody's in a vengeful smiting mood today.
L35803	u317	m19	MA	The Lord says we can bury 'em out back in the orchard, nobody'll ever find them.
L35780	u317	m19	MA	We're just fine, thank you, sir.
L35779	u313	m19	JESSE	Easterners.
L35750	u317	m19	MA	He's a good Christian and he killed Yankees. Jesus told me that made him an all right boy.
L35749	u313	m19	JESSE	Ma, I'm glad to see you being nice to our Injun friend.
L35741	u317	m19	MA	Say your prayers?
L35740	u313	m19	JESSE	A fair number, Ma.
L35739	u317	m19	MA	Did you kill Yankees?
L36532	u313	m19	JESSE	I'll explain on the way.
L36531	u326	m19	ZEE	Tennessee?
L36514	u313	m19	JESSE	Yes ma'am.
L36513	u326	m19	ZEE	Don't swear.
L36512	u313	m19	JESSE	You are a hell of a woman.
L36511	u326	m19	ZEE	I can't believe I had to blow up a train for you.
L36510	u313	m19	JESSE	Yes ma'am.
L36509	u326	m19	ZEE	You get arrested again, I'll kill you.
L36414	u326	m19	ZEE	If you don't see it, it's not real...
L36413	u313	m19	JESSE	What?
L36412	u326	m19	ZEE	Don't turn around.
L36411	u313	m19	JESSE	Swimming. Swimming is good.
L36410	u326	m19	ZEE	Stop it. This is just sad.
L36409	u313	m19	JESSE	Aw, shucks, ma'am...
L36408	u326	m19	ZEE	Jesse, have you ever noticed that when you're trying to charm your way out of trouble, your accent gets all farm boy?
L36407	u313	m19	JESSE	Now, sweetie, y'all wouldn't go believing one of them silly dime novels, would you?
L36406	u326	m19	ZEE	"Oh, I'm not finished.  ""When he sauntered into a saloon, his spurs jangling and his pockets full of gold, the ladies flocked around him like flies to a candied apple.""  As I said. Hmm."
L36405	u313	m19	JESSE	Let me see that.
L36404	u326	m19	ZEE	Blazing Guns of the West. True Stories of Jesse James. Only a dime in the hotel lobby.
L36403	u313	m19	JESSE	I beg your pardon?
