mId,movieTitle,movieYear,rating,geners,female_lines_count,male_lines_count,unknown_lines_count,female_lines_percentage,male_lines_percentage,unknown_lines_percentage
m37,the boondock saints,1999,7.8,"['action', 'crime', 'drama', 'thriller']",0,403,98,0.0,80.43912175648703,19.560878243512974
m38,bottle rocket,1996,7.2,"['comedy', 'crime']",0,842,67,0.0,92.62926292629263,7.37073707370737
m39,the bourne supremacy,2004,7.6,"['action', 'adventure', 'mystery', 'thriller']",167,149,74,42.82051282051282,38.205128205128204,18.974358974358974
m40,braveheart,1995,8.4,"['action', 'biography', 'drama', 'history', 'war']",62,81,138,22.064056939501782,28.825622775800714,49.11032028469751
m41,the butterfly effect,2004,7.8,"['drama', 'mystery', 'sci-fi', 'thriller']",126,219,95,28.636363636363637,49.77272727272727,21.59090909090909
m42,casablanca,1942,8.8,"['drama', 'romance', 'war']",134,660,40,16.06714628297362,79.13669064748201,4.796163069544365
m43,cast away,2000,7.5,"['adventure', 'drama']",57,281,62,14.249999999999998,70.25,15.5
m44,the cider house rules,1999,7.5,"['drama', 'romance']",135,357,84,23.4375,61.979166666666664,14.583333333333334
m45,confidence,2003,6.8,"['crime', 'thriller']",73,442,100,11.869918699186991,71.869918699187,16.260162601626014
m46,croupier,1998,7.2,"['crime', 'drama']",142,322,26,28.97959183673469,65.71428571428571,5.3061224489795915
m47,dark star,1974,6.5,"['comedy', 'sci-fi', 'thriller']",0,283,5,0.0,98.26388888888889,1.7361111111111112
m48,dark angel,1990,5.3,"['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller']",41,384,134,7.334525939177102,68.69409660107334,23.97137745974955
m49,detroit rock city,1999,6.5,"['comedy', 'music']",0,259,100,0.0,72.14484679665738,27.85515320334262
m50,donnie darko,2001,8.3,"['drama', 'mystery', 'sci-fi']",57,264,181,11.354581673306772,52.589641434262944,36.05577689243028
m51,drop dead gorgeous,1999,6.3,"['comedy', 'adult']",155,0,151,50.65359477124183,0.0,49.34640522875817
m52,duck soup,1933,8.1,"['comedy', 'musical']",0,299,22,0.0,93.14641744548287,6.853582554517133
m53,the elephant man,1980,8.4,"['biography', 'drama', 'history']",47,346,70,10.151187904967603,74.73002159827213,15.118790496760258
m54,erik the viking,1989,5.9,"['comedy', 'adventure', 'fantasy']",78,361,123,13.87900355871886,64.23487544483986,21.88612099644128
m55,eternal sunshine of the spotless mind,2004,8.5,"['drama', 'romance', 'sci-fi']",337,427,64,40.70048309178744,51.57004830917874,7.729468599033816
m56,even cowgirls get the blues,1993,4.0,"['comedy', 'drama', 'romance', 'western']",77,47,27,50.993377483443716,31.125827814569533,17.880794701986755
m57,event horizon,1997,6.4,"['horror', 'mystery', 'mystery', 'sci-fi', 'sci-fi']",132,399,70,21.96339434276206,66.38935108153078,11.647254575707153
m58,fantastic four,2005,5.7,"['action', 'adventure', 'fantasy', 'sci-fi', 'fantasy']",92,308,50,20.444444444444446,68.44444444444444,11.11111111111111
m59,fast times at ridgemont high,1982,7.2,"['comedy', 'drama', 'romance']",235,207,147,39.898132427843805,35.144312393887944,24.95755517826825
m60,fear and loathing in las vegas,1998,7.6,"['drama', 'fantasy']",19,304,45,5.163043478260869,82.6086956521739,12.228260869565217
m61,feast,2005,6.4,"['action', 'comedy', 'horror', 'thriller']",117,41,203,32.40997229916898,11.357340720221606,56.232686980609415
m62,frances,1982,7.2,"['biography', 'drama']",386,204,139,52.94924554183813,27.983539094650205,19.06721536351166
m63,frankenstein,1931,8.0,"['drama', 'horror', 'sci-fi']",50,151,103,16.447368421052634,49.67105263157895,33.881578947368425
m64,friday the 13th,2009,5.6,['horror'],0,0,95,0.0,0.0,100.0
m65,from dusk till dawn,1996,7.1,"['action', 'crime', 'horror', 'thriller']",44,331,73,9.821428571428571,73.88392857142857,16.294642857142858
m66,g.i. jane,1997,5.6,"['action', 'drama']",238,113,147,47.791164658634536,22.690763052208833,29.518072289156628
m67,godzilla,1998,4.9,"['action', 'horror', 'sci-fi', 'thriller']",77,142,86,25.245901639344265,46.557377049180324,28.196721311475407
m68,galaxy quest,1999,7.2,"['action', 'adventure', 'comedy', 'sci-fi']",80,342,89,15.655577299412915,66.92759295499022,17.416829745596868
m69,george washington,2000,7.5,['drama'],56,337,70,12.095032397408207,72.78617710583153,15.118790496760258
m70,get shorty,1995,6.9,"['comedy', 'crime', 'thriller']",85,587,74,11.394101876675604,78.68632707774799,9.919571045576408
m71,ghost ship,2002,5.3,"['horror', 'mystery', 'thriller']",124,427,20,21.71628721541156,74.78108581436076,3.502626970227671
m72,ghost world,2001,7.7,"['comedy', 'drama']",659,239,87,66.90355329949239,24.263959390862944,8.83248730964467
m73,the ghost and the darkness,1996,6.6,"['adventure', 'drama', 'thriller']",0,253,37,0.0,87.24137931034483,12.758620689655173
m74,ghostbusters ii,1989,6.1,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'action', 'adventure', 'comedy', 'sci-fi']",95,310,92,19.114688128772634,62.37424547283702,18.51106639839034
m75,ghostbusters,1986,6.9,"['animation', 'comedy', 'fantasy', 'sci-fi', 'horror']",59,289,106,12.995594713656388,63.65638766519823,23.348017621145374
m76,gladiator,2000,8.4,"['action', 'adventure', 'drama']",63,240,74,16.710875331564985,63.660477453580896,19.628647214854112
m77,the graduate,1967,8.2,"['comedy', 'drama', 'romance']",399,586,29,39.349112426035504,57.79092702169625,2.8599605522682445
m78,grand hotel,1932,7.7,"['drama', 'romance']",229,544,59,27.524038461538463,65.38461538461539,7.091346153846153
m79,the grifters,1990,7.0,"['crime', 'drama', 'thriller']",218,245,89,39.492753623188406,44.38405797101449,16.1231884057971
m80,halloween h20: 20 years later,1998,5.4,"['drama', 'horror', 'thriller']",65,66,130,24.904214559386972,25.287356321839084,49.808429118773944
m81,halloween: the curse of michael myers,1995,4.5,"['horror', 'thriller']",0,64,121,0.0,34.5945945945946,65.4054054054054
m82,"happy birthday, wanda june",1971,5.8,"['comedy', 'drama']",241,888,31,20.775862068965516,76.55172413793103,2.6724137931034484
m83,hardcore,1979,6.7,['drama'],111,315,110,20.708955223880597,58.76865671641791,20.522388059701495
m84,harold and maude,1971,8.1,"['comedy', 'romance']",176,268,86,33.20754716981132,50.56603773584906,16.22641509433962
m85,hellbound: hellraiser ii,1988,6.2,"['drama', 'horror', 'thriller']",43,19,54,37.06896551724138,16.379310344827587,46.55172413793103
m86,hellboy,2004,6.8,"['action', 'adventure', 'fantasy']",0,144,145,0.0,49.82698961937716,50.17301038062284
m87,hellraiser,1987,7.0,['horror'],240,213,55,47.24409448818898,41.92913385826771,10.826771653543307
m88,high fidelity,2000,7.6,"['comedy', 'drama', 'music', 'romance']",244,523,57,29.61165048543689,63.470873786407765,6.917475728155339
m89,highlander,1986,7.2,"['action', 'fantasy']",143,314,192,22.033898305084744,48.38212634822804,29.583975346687215
m90,his girl friday,1940,8.1,"['comedy', 'drama', 'romance']",353,622,173,30.74912891986063,54.181184668989545,15.069686411149826
m91,hope and glory,1987,7.4,"['drama', 'war']",103,77,123,33.993399339933994,25.412541254125415,40.5940594059406
m92,house of 1000 corpses,2003,5.6,['horror'],209,190,214,34.09461663947798,30.99510603588907,34.91027732463296
m93,human nature,2001,6.3,"['comedy', 'drama']",237,253,64,42.7797833935018,45.667870036101085,11.552346570397113
m94,the hustler,1961,8.2,"['drama', 'romance', 'sport']",121,536,38,17.41007194244604,77.12230215827338,5.467625899280575
m95,i am legend,2007,7.1,"['drama', 'sci-fi', 'thriller']",33,47,17,34.02061855670103,48.45360824742268,17.525773195876287
m96,invaders from mars,1953,6.4,"['horror', 'sci-fi']",45,98,32,25.71428571428571,56.00000000000001,18.285714285714285
m97,independence day,1996,6.6,"['action', 'adventure', 'sci-fi', 'thriller']",49,188,110,14.121037463976945,54.17867435158501,31.70028818443804
m98,indiana jones and the last crusade,1989,8.3,"['action', 'adventure', 'thriller', 'action', 'adventure', 'fantasy']",37,348,33,8.851674641148326,83.25358851674642,7.894736842105263
m99,indiana jones and the temple of doom,1984,7.5,"['action', 'adventure']",113,157,94,31.043956043956044,43.13186813186813,25.82417582417583
m100,innerspace,1987,6.5,"['action', 'adventure', 'comedy', 'crime', 'sci-fi']",149,775,144,13.951310861423222,72.56554307116106,13.48314606741573
m101,the insider,1999,8.0,"['biography', 'drama', 'thriller']",42,452,147,6.5522620904836195,70.51482059282371,22.932917316692667
m102,intolerable cruelty,2003,6.4,"['comedy', 'romance', 'crime']",233,353,94,34.26470588235294,51.911764705882355,13.823529411764707
m103,it happened one night,1934,8.3,"['comedy', 'romance']",360,362,140,41.76334106728538,41.9953596287703,16.241299303944317
m104,jfk,1991,8.0,"['biography', 'drama', 'history', 'mystery', 'thriller']",77,500,163,10.405405405405405,67.56756756756756,22.027027027027028
m105,jackie brown,1997,7.6,"['crime', 'drama', 'thriller']",423,761,30,34.84349258649094,62.68533772652389,2.471169686985173
m106,jacob's ladder,1990,7.5,"['drama', 'mystery', 'thriller']",146,450,153,19.492656875834445,60.08010680907877,20.427236315086784
m107,jason x,2001,4.4,"['horror', 'sci-fi']",29,42,433,5.753968253968254,8.333333333333332,85.9126984126984
m108,jaws,1975,8.3,['thriller'],34,337,42,8.232445520581114,81.59806295399515,10.16949152542373
m109,juno,2007,7.9,"['comedy', 'drama']",456,173,44,67.75631500742942,25.705794947994054,6.537890044576524
m110,kalifornia,1993,6.7,"['crime', 'drama', 'thriller']",141,157,29,43.11926605504588,48.01223241590214,8.868501529051988
m111,kids,1995,6.8,"['crime', 'drama']",135,271,126,25.375939849624064,50.93984962406015,23.684210526315788
m112,knight moves,1992,5.8,"['mystery', 'thriller']",167,420,128,23.356643356643357,58.74125874125874,17.902097902097903
m113,krull,1983,5.9,"['fantasy', 'action', 'adventure', 'sci-fi']",57,280,144,11.85031185031185,58.21205821205822,29.93762993762994
m114,léon,1994,8.6,"['crime', 'drama', 'thriller']",98,83,71,38.88888888888889,32.93650793650794,28.174603174603174
m115,labor of love,1998,4.5,[],64,154,141,17.827298050139277,42.89693593314763,39.27576601671309
m116,leaving las vegas,1995,7.6,"['drama', 'romance']",114,112,35,43.67816091954023,42.911877394636015,13.409961685823754
m117,legally blonde,2001,6.2,['comedy'],277,93,148,53.47490347490348,17.953667953667953,28.57142857142857
m118,legend,1985,6.2,"['fantasy', 'adventure', 'romance']",147,548,82,18.91891891891892,70.52767052767052,10.553410553410554
m119,life as a house,2001,7.5,"['drama', 'romance']",224,462,124,27.65432098765432,57.03703703703704,15.308641975308642
m120,the life of david gale,2003,7.3,"['drama', 'crime', 'thriller']",0,459,196,0.0,70.07633587786259,29.923664122137406
m121,little nicky,2000,5.0,"['fantasy', 'comedy', 'romance', 'animation', 'comedy', 'fantasy', 'horror']",60,216,163,13.66742596810934,49.202733485193626,37.12984054669704
m122,logan's run,1976,6.7,"['action', 'sci-fi']",127,268,35,29.53488372093023,62.32558139534884,8.13953488372093
m123,lost highway,1997,7.6,"['drama', 'horror', 'mystery', 'thriller']",106,218,166,21.63265306122449,44.48979591836735,33.87755102040816
m124,lost horizon,1937,7.8,"['adventure', 'drama', 'fantasy', 'mystery']",29,577,48,4.434250764525994,88.2262996941896,7.339449541284404
m125,men in black,1997,7.0,"['action', 'adventure', 'comedy', 'sci-fi']",29,288,89,7.142857142857142,70.93596059113301,21.921182266009854
m126,minority report,2002,7.7,"['action', 'crime', 'mystery', 'sci-fi', 'thriller', 'action', 'animation', 'drama', 'mystery', 'sci-fi', 'thriller']",101,480,102,14.787701317715959,70.27818448023426,14.93411420204978
m127,made,2001,6.4,"['comedy', 'crime', 'drama', 'thriller']",30,709,171,3.296703296703297,77.91208791208791,18.791208791208792
m128,malcolm x,1992,7.7,"['biography', 'drama', 'history']",52,376,118,9.523809523809524,68.86446886446886,21.611721611721613
m129,man on fire,2004,7.7,"['action', 'crime', 'drama', 'thriller']",126,297,138,22.459893048128343,52.94117647058824,24.598930481283425
m130,marty,1955,7.7,"['drama', 'romance']",167,175,120,36.14718614718615,37.878787878787875,25.97402597402597
m131,mash,1970,7.8,"['comedy', 'war', 'drama']",0,411,222,0.0,64.92890995260665,35.07109004739337
m132,meet john doe,1941,7.7,"['comedy', 'drama', 'romance']",143,220,149,27.9296875,42.96875,29.1015625
m133,metro,1997,5.3,"['action', 'comedy', 'crime', 'drama', 'thriller']",50,350,117,9.671179883945841,67.69825918762089,22.63056092843327
m134,metropolis,1927,8.4,"['adventure', 'drama', 'sci-fi']",24,0,249,8.791208791208792,0.0,91.20879120879121
m135,mighty morphin power rangers,1994,8.2,"['action', 'family']",0,0,193,0.0,0.0,100.0
m136,mobsters,1991,5.5,"['crime', 'drama']",0,226,212,0.0,51.598173515981735,48.401826484018265
m137,monkeybone,2001,4.5,"['animation', 'comedy', 'fantasy', 'romance']",54,149,101,17.763157894736842,49.01315789473684,33.223684210526315
m138,my mother dreams the satan's disciples in new york,1998,6.7,['short'],91,0,31,74.59016393442623,0.0,25.40983606557377
m139,mr. smith goes to washington,1939,8.4,['drama'],255,587,100,27.070063694267514,62.31422505307855,10.615711252653929
m140,mr. deeds goes to town,1936,8.0,"['comedy', 'romance']",147,498,153,18.421052631578945,62.40601503759399,19.172932330827066
m141,mumford,1999,6.8,"['comedy', 'drama']",175,464,95,23.841961852861036,63.21525885558583,12.942779291553133
m142,the mummy,1999,6.9,"['action', 'adventure', 'fantasy']",116,210,57,30.287206266318538,54.83028720626631,14.882506527415144
m143,mystery men,1999,5.9,"['action', 'comedy', 'fantasy']",51,237,141,11.888111888111888,55.24475524475524,32.86713286713287
m144,napoleon,1995,5.5,"['family', 'adventure']",67,299,177,12.338858195211786,55.06445672191529,32.59668508287293
m145,next friday,2000,5.4,['comedy'],22,368,83,4.651162790697675,77.80126849894292,17.547568710359407
m146,nick of time,1995,6.2,"['crime', 'drama', 'thriller']",32,237,109,8.465608465608465,62.698412698412696,28.835978835978835
m147,the night of the hunter,1955,8.2,"['drama', 'film-noir', 'thriller']",89,124,232,20.0,27.86516853932584,52.13483146067416
m148,a nightmare on elm street,1984,7.4,['horror'],148,39,76,56.27376425855514,14.82889733840304,28.89733840304182
m149,ninotchka,1939,7.9,"['comedy', 'romance']",440,506,69,43.34975369458128,49.85221674876848,6.798029556650246
m150,nixon,1995,7.1,"['biography', 'drama']",62,750,139,6.5194532071503675,78.86435331230284,14.616193480546794
m151,no country for old men,2007,8.3,"['crime', 'drama', 'mystery', 'thriller', 'western']",62,432,106,10.333333333333334,72.0,17.666666666666668
m152,nurse betty,2000,6.4,"['comedy', 'crime', 'romance', 'thriller']",350,492,64,38.63134657836645,54.3046357615894,7.06401766004415
m153,"o brother, where art thou?",2000,7.8,"['comedy', 'adventure', 'crime', 'music']",21,201,94,6.645569620253164,63.60759493670886,29.746835443037973
m154,an officer and a gentleman,1982,6.8,"['drama', 'romance']",139,327,33,27.85571142284569,65.53106212424849,6.613226452905812
m155,panic room,2002,6.9,['thriller'],136,166,42,39.53488372093023,48.25581395348838,12.209302325581394
m156,panther,1995,5.9,['drama'],0,241,106,0.0,69.45244956772333,30.547550432276655
m157,the patriot,2000,6.9,"['action', 'drama', 'war']",0,255,127,0.0,66.75392670157068,33.246073298429316
m158,pet sematary,1989,6.3,"['drama', 'fantasy', 'horror', 'mystery', 'thriller']",90,215,5,29.03225806451613,69.35483870967742,1.6129032258064515
m159,pirates of the caribbean,2003,7.2,"['adventure', 'fantasy', 'horror']",77,266,129,16.3135593220339,56.355932203389834,27.33050847457627
m160,plastic man,1999,6.7,['drama'],141,128,204,29.809725158562365,27.061310782241016,43.12896405919662
m161,platinum blonde,1931,6.9,"['comedy', 'romance']",175,368,114,26.636225266362253,56.01217656012176,17.35159817351598
m162,pleasantville,1998,7.5,"['comedy', 'drama', 'fantasy']",205,354,107,30.78078078078078,53.153153153153156,16.066066066066064
m163,punch-drunk love,2002,7.4,"['comedy', 'drama', 'romance']",217,412,136,28.366013071895424,53.8562091503268,17.77777777777778
m164,quills,2000,7.3,"['biography', 'drama', 'history', 'romance']",89,315,59,19.222462203023756,68.03455723542116,12.742980561555076
m165,rko 281,1999,7.1,"['biography', 'drama']",74,314,60,16.517857142857142,70.08928571428571,13.392857142857142
m166,raging bull,1980,8.4,"['biography', 'drama', 'sport']",84,307,59,18.666666666666668,68.22222222222221,13.111111111111112
m167,rear window,1954,8.7,"['crime', 'mystery', 'romance', 'thriller']",196,349,56,32.61231281198003,58.069883527454245,9.317803660565724
m168,rebel without a cause,1955,7.9,"['drama', 'romance']",129,398,78,21.322314049586776,65.78512396694215,12.892561983471074
m169,reindeer games,2000,5.5,"['action', 'crime', 'drama', 'thriller']",126,408,80,20.521172638436482,66.44951140065146,13.029315960912053
m170,reservoir dogs,1992,8.4,"['crime', 'mystery', 'thriller']",0,403,62,0.0,86.66666666666667,13.333333333333334
m171,roughshod,1949,6.9,"['action', 'drama', 'romance', 'western']",170,246,91,33.53057199211045,48.5207100591716,17.94871794871795
m172,scary movie 2,2001,4.7,['comedy'],133,180,157,28.297872340425535,38.297872340425535,33.40425531914894
m173,serial mom,1994,6.4,"['comedy', 'thriller']",129,39,162,39.09090909090909,11.818181818181818,49.09090909090909
m174,the seventh victim,1943,6.9,"['drama', 'horror', 'thriller']",171,205,113,34.96932515337423,41.922290388548056,23.108384458077712
m175,"sex, lies, and videotape",1989,7.1,['drama'],473,389,16,53.87243735763098,44.30523917995444,1.8223234624145785
m176,shivers,1975,6.5,"['horror', 'sci-fi']",0,76,73,0.0,51.006711409395976,48.99328859060403
m177,shock treatment,1981,5.4,"['comedy', 'musical']",24,22,260,7.8431372549019605,7.18954248366013,84.9673202614379
m178,sideways,2004,7.8,"['comedy', 'drama', 'romance']",96,634,93,11.66464155528554,77.03523693803159,11.300121506682867
m179,signs,2002,6.9,"['drama', 'mystery', 'sci-fi', 'thriller']",23,210,31,8.712121212121213,79.54545454545455,11.742424242424242
m180,silverado,1985,7.0,"['action', 'western']",28,191,196,6.746987951807229,46.024096385542165,47.2289156626506
m181,simone,2010,8.3,"['short', 'drama', 'horror', 'thriller']",118,240,241,19.69949916527546,40.06677796327212,40.23372287145242
m182,the sixth sense,1999,8.2,"['drama', 'mystery', 'thriller']",30,203,33,11.278195488721805,76.31578947368422,12.406015037593985
m183,slash,2002,4.2,"['comedy', 'horror', 'thriller']",76,87,157,23.75,27.187499999999996,49.0625
m184,slither,2006,6.6,"['comedy', 'horror', 'sci-fi']",79,59,57,40.51282051282051,30.256410256410255,29.230769230769234
m185,smokey and the bandit,1977,6.6,"['action', 'comedy', 'crime', 'romance']",81,257,65,20.099255583126553,63.77171215880894,16.129032258064516
m186,smokin' aces,2006,6.6,"['action', 'crime', 'drama', 'thriller']",59,194,101,16.666666666666664,54.80225988700565,28.53107344632768
m187,solaris,2002,6.2,"['drama', 'mystery', 'romance', 'sci-fi']",102,229,35,27.86885245901639,62.568306010928964,9.562841530054644
m188,someone to watch over me,1987,6.1,"['action', 'crime', 'drama', 'romance', 'thriller']",169,227,57,37.30684326710817,50.11037527593819,12.582781456953644
m189,spider-man,2002,7.4,"['action', 'adventure', 'fantasy', 'sci-fi', 'action', 'adventure', 'sci-fi', 'thriller']",79,165,167,19.22141119221411,40.14598540145985,40.632603406326034
m190,stalag 17,1953,8.2,"['drama', 'war']",0,402,150,0.0,72.82608695652173,27.173913043478258
m191,star trek: generations,1994,6.5,"['action', 'mystery', 'sci-fi', 'thriller']",19,147,160,5.828220858895705,45.0920245398773,49.079754601226995
m192,star trek iii: the search for spock,1984,6.5,"['action', 'adventure', 'sci-fi', 'thriller']",55,233,146,12.672811059907835,53.686635944700456,33.6405529953917
m193,star trek: the wrath of khan,1982,7.8,"['action', 'adventure', 'sci-fi', 'thriller']",66,366,184,10.714285714285714,59.41558441558441,29.87012987012987
m194,star trek iv: the voyage home,1986,7.3,"['adventure', 'comedy', 'sci-fi']",83,398,143,13.301282051282051,63.78205128205128,22.916666666666664
m195,star trek: insurrection,1998,6.3,"['action', 'adventure', 'sci-fi', 'thriller']",56,314,105,11.789473684210526,66.10526315789474,22.105263157894736
m196,star trek: first contact,1996,7.6,"['action', 'adventure', 'sci-fi', 'thriller']",75,275,73,17.73049645390071,65.01182033096927,17.257683215130022
m197,star trek vi: the undiscovered country,1991,7.2,"['action', 'mystery', 'sci-fi', 'thriller']",0,358,158,0.0,69.37984496124031,30.620155038759687
m198,star trek: nemesis,2002,6.4,"['action', 'sci-fi', 'thriller']",42,445,86,7.329842931937172,77.66143106457243,15.008726003490402
m199,starman,1984,6.9,"['adventure', 'drama', 'romance', 'sci-fi']",215,324,86,34.4,51.839999999999996,13.76
m200,strange days,1995,7.1,"['action', 'crime', 'drama', 'fantasy', 'music', 'mystery', 'sci-fi', 'thriller']",165,319,45,31.190926275992435,60.30245746691871,8.506616257088846
m201,suspect zero,2004,5.8,"['crime', 'horror', 'sci-fi', 'thriller']",102,312,164,17.647058823529413,53.979238754325266,28.373702422145332
m202,swingers,1996,7.6,"['comedy', 'drama']",42,671,104,5.140758873929008,82.12974296205631,12.729498164014688
m203,the godfather,1972,9.2,"['crime', 'drama', 'thriller']",55,339,142,10.261194029850747,63.24626865671642,26.492537313432834
m204,the talented mr. ripley,1999,7.2,"['crime', 'drama', 'thriller']",143,509,39,20.69464544138929,73.66136034732273,5.643994211287988
m205,taxi driver,1976,8.6,"['drama', 'thriller']",145,313,47,28.71287128712871,61.98019801980198,9.306930693069306
m206,the rock,1996,7.3,"['action', 'adventure', 'thriller']",0,61,14,0.0,81.33333333333333,18.666666666666668
m207,the majestic,2001,6.8,"['drama', 'romance']",74,348,131,13.381555153707053,62.92947558770343,23.688969258589513
m208,the birds,1963,7.9,"['horror', 'romance', 'thriller']",497,231,137,57.45664739884393,26.705202312138727,15.838150289017342
m209,the body snatcher,1945,7.4,"['drama', 'horror', 'thriller']",24,268,48,7.0588235294117645,78.82352941176471,14.117647058823529
m210,the crow: salvation,2000,4.7,"['action', 'crime', 'fantasy', 'mystery', 'thriller']",68,71,87,30.08849557522124,31.41592920353982,38.49557522123894
m211,the day the earth stood still,2008,5.5,"['drama', 'sci-fi', 'thriller']",77,221,86,20.052083333333336,57.552083333333336,22.395833333333336
m212,the lost boys,1987,7.0,"['comedy', 'fantasy', 'horror', 'thriller']",110,280,62,24.336283185840706,61.94690265486725,13.716814159292035
m213,the thing,1982,8.2,"['horror', 'mystery', 'sci-fi', 'thriller']",0,188,163,0.0,53.561253561253565,46.438746438746435
m214,the time machine,2002,5.7,"['sci-fi', 'adventure', 'action']",101,414,64,17.443868739205527,71.50259067357513,11.053540587219343
m215,the jacket,2005,7.1,"['drama', 'fantasy', 'mystery', 'sci-fi', 'thriller']",159,276,40,33.473684210526315,58.10526315789474,8.421052631578947
m216,thelma & louise,1991,7.3,"['crime', 'drama', 'thriller']",490,76,106,72.91666666666666,11.30952380952381,15.773809523809524
m217,there's something about mary,1998,7.2,"['comedy', 'romance']",215,528,74,26.31578947368421,64.62668298653611,9.057527539779683
